Appliance Name,No of Appliances,Wattage,Voltage,Ampere,Time On (hours),Electricity Units Spent (kWh),Amount Spent (Rs.),Anomalous
Light,2,100,227,0.44,18,1.8,9.0,No
Fan,3,49,223,0.22,16,0.784,3.92,No
Mobile,1,15,240,0.06,22,0.33,1.6500000000000001,Yes
TV,2,166,222,0.75,21,3.486,17.43,No
AC,3,1375,220,6.25,18,24.75,123.75,No
Washing Machine,1,595,226,2.63,4,2.38,11.899999999999999,No
Induction,1,1698,232,7.32,2,3.396,16.98,Yes
Fridge,3,212,221,0.96,18,3.816,19.08,No
Water Purifier,2,79,230,0.34,5,0.395,1.975,No
Water Pump,3,854,232,3.68,15,12.81,64.05,Yes
Geyser,1,2313,236,9.8,6,13.878,69.39,Yes
Chimney,1,197,240,0.82,11,2.167,10.834999999999999,Yes
Inverter,2,666,213,3.13,7,4.662,23.31,Yes
Desktop,1,165,227,0.73,2,0.33,1.6500000000000001,No
Laptop,3,113,230,0.49,13,1.469,7.345000000000001,No
