Appliance Name,No of Appliances,Wattage,Voltage,Ampere,Time On (hours),Electricity Units Spent (kWh),Amount Spent (Rs.),Anomalous
Light,3,30,240,0.12,20,0.6,3.0,Yes
Fan,2,36,216,0.17,14,0.504,2.52,Yes
Mobile,1,20,222,0.09,6,0.12,0.6,No
TV,2,110,221,0.5,22,2.42,12.1,No
AC,1,1968,221,8.9,13,25.584,127.92,No
Washing Machine,2,908,220,4.13,4,3.632,18.16,No
Induction,2,1969,226,8.71,3,5.907,29.535,No
Fridge,1,291,220,1.32,18,5.238,26.19,No
Water Purifier,2,56,220,0.25,11,0.616,3.08,No
Water Pump,1,737,215,3.43,10,7.37,36.85,Yes
Geyser,1,1757,215,8.17,21,36.897,184.48499999999999,Yes
Chimney,1,251,232,1.08,10,2.51,12.549999999999999,Yes
Inverter,1,959,231,4.15,7,6.713,33.565,Yes
Desktop,2,297,231,1.29,21,6.237,31.185000000000002,Yes
Laptop,1,149,219,0.68,2,0.298,1.49,Yes
