Appliance Name,No of Appliances,Wattage,Voltage,Ampere,Time On (hours),Electricity Units Spent (kWh),Amount Spent (Rs.),Anomalous
Light,2,38,236,0.16,1,0.038,0.19,Yes
Fan,2,43,233,0.18,3,0.129,0.645,Yes
Mobile,1,11,233,0.05,19,0.209,1.045,Yes
TV,3,194,234,0.83,1,0.194,0.97,Yes
AC,2,1496,237,6.31,18,26.928,134.64000000000001,Yes
Washing Machine,2,1169,238,4.91,16,18.704,93.52000000000001,Yes
Induction,1,1865,226,8.25,11,20.515,102.575,No
Fridge,3,299,238,1.26,18,5.382,26.909999999999997,Yes
Water Purifier,3,148,232,0.64,14,2.072,10.36,Yes
Water Pump,1,484,230,2.1,17,8.228,41.14,No
Geyser,3,2451,221,11.09,16,39.216,196.08,No
Chimney,3,212,240,0.88,16,3.392,16.96,Yes
Inverter,3,1143,222,5.15,18,20.574,102.87,No
Desktop,1,184,235,0.78,2,0.368,1.8399999999999999,Yes
Laptop,1,104,213,0.49,10,1.04,5.2,Yes
