Appliance Name,No of Appliances,Wattage,Voltage,Ampere,Time On (hours),Electricity Units Spent (kWh),Amount Spent (Rs.),Anomalous
Light,3,80,238,0.34,17,1.36,6.800000000000001,Yes
Fan,1,85,240,0.35,4,0.34,1.7000000000000002,Yes
Mobile,1,10,217,0.05,7,0.07,0.35000000000000003,Yes
TV,1,193,213,0.91,10,1.93,9.65,Yes
AC,1,1799,238,7.56,21,37.779,188.895,Yes
Washing Machine,1,1271,237,5.36,7,8.897,44.485,Yes
Induction,1,1859,239,7.78,3,5.577,27.884999999999998,Yes
Fridge,2,230,210,1.1,22,5.06,25.299999999999997,Yes
Water Pump,1,896,214,4.19,21,18.816,94.08,Yes
Geyser,2,1681,213,7.89,7,11.767,58.834999999999994,Yes
Chimney,2,203,240,0.85,8,1.624,8.120000000000001,Yes
Desktop,2,111,216,0.51,5,0.555,2.7750000000000004,Yes
Laptop,2,75,238,0.32,13,0.975,4.875,Yes
