Appliance Name,No of Appliances,Wattage,Voltage,Ampere,Time On (hours),Electricity Units Spent (kWh),Amount Spent (Rs.),Anomalous
Light,1,25,223,0.11,9,0.225,1.125,No
Fan,3,51,224,0.23,15,0.765,3.825,No
Mobile,1,8,215,0.04,4,0.032,0.16,Yes
TV,3,199,222,0.9,4,0.796,3.9800000000000004,No
AC,2,1226,223,5.5,21,25.746,128.73,No
Washing Machine,1,732,214,3.42,21,15.372,76.86,Yes
Induction,2,1905,212,8.99,24,45.72,228.6,Yes
Fridge,1,161,222,0.73,4,0.644,3.22,No
Water Purifier,2,118,227,0.52,4,0.472,2.36,No
Water Pump,1,885,230,3.85,11,9.735,48.675,No
Geyser,1,1671,235,7.11,21,35.091,175.455,Yes
Chimney,2,100,216,0.46,18,1.8,9.0,Yes
Inverter,2,960,240,4.0,23,22.08,110.39999999999999,Yes
Desktop,2,295,237,1.24,8,2.36,11.799999999999999,Yes
Laptop,2,89,219,0.41,19,1.691,8.455,Yes
